"summary","behaviour","freq","O1","N1","C1","O2","N2","C2","filledO1","voicedO2","voiced_second_consonant","gcm_naive","gcm_inf","gcm_naive_fea","gcm_inf_fea","mgl"
"= e j ny e = b.","b",4087,"=","e","j","ny","e","=",FALSE,TRUE,TRUE,1.95768398447417,1.38976485875471,2.22676745892876,2.54752694009696,0.44900501554948
"cs i = g a = b.","b",3249,"cs","i","=","g","a","=",TRUE,TRUE,TRUE,-0.391784682485531,0.842994632593743,0.38051142971178,0.840035037432117,0.935660271018218
"cs e = r e = b.","b",1295,"cs","e","=","r","e","=",TRUE,TRUE,TRUE,1.39791399993839,0.462416027507734,-0.375875990902333,-0.0240578698848314,0.507496787560246
"cs i: n j a = b.","b",1068,"cs","i:","n","j","a","=",TRUE,TRUE,TRUE,1.12786430182168,0.837398367656286,0.82600216652163,1.02265776439282,0.697258753697235
"= u g r a = b.","b",506,"=","u","g","r","a","=",FALSE,TRUE,TRUE,2.05486324786784,3.07327607665613,2.11131008808037,2.76524415329019,0.935660271018218
"c i = c a = m.","m",366,"c","i","=","c","a","=",TRUE,FALSE,FALSE,-2.49750976629776,-2.10415346559245,-2.6268279202279,-2.88027996128532,-0.573898442773058
"= u g r i = b.","b",365,"=","u","g","r","i","=",FALSE,TRUE,TRUE,1.50188856134515,2.84500065790275,1.69624553210863,2.52889312388843,0.935660271018218
"cs i = cs a = m.","m",275,"cs","i","=","cs","a","=",TRUE,FALSE,FALSE,0.199280398441954,0.237093619847532,-2.28194175803936,-2.58218754788832,0.093901923404064
"z o r d o m b.","b",226,"z","o","r","d","o","m",TRUE,TRUE,TRUE,1.74996118924345,2.6192342080292,1.40669534059255,1.94528710766114,0.697325853394551
"= e: = d i = b.","b",106,"=","e:","=","d","i","=",FALSE,TRUE,TRUE,1.39325309137528,2.36394833578489,0.110329322683697,0.568256422123307,0.134782270017254
"ny u = sz i = m.","m",92,"ny","u","=","sz","i","=",TRUE,FALSE,FALSE,-1.97372910652018,-1.85797027556071,-2.69840494533391,-1.60304732757864,-0.178934448582918
"t u"" n d i = b.","b",80,"t","u""","n","d","i","=",TRUE,TRUE,TRUE,2.08840142452795,1.78952138304754,1.54943539148445,1.83136889734487,0.300871414159574
"= i = z e: = m.","m",79,"=","i","=","z","e:","=",FALSE,TRUE,TRUE,-0.243998282904972,0.609237233400194,-0.347910154016663,0.0820843731782461,0.272686765082248
"ny u = l a m b.","b",72,"ny","u","=","l","a","m",TRUE,TRUE,TRUE,-0.511826271000402,3.45037201530895,3.27458302055759,3.9058812646105,0.503438811598378
"h e l l o: = b.","b",65,"h","e","l","l","o:","=",TRUE,TRUE,TRUE,-0.210319099599923,-0.505287254966407,0.480329850335273,0.882047438343013,-0.0684989124221167
"k u = ty u = m.","m",49,"k","u","=","ty","u","=",TRUE,FALSE,FALSE,-2.75631546170746,-4.07669493552942,-2.51122336262227,-2.78571906077652,-0.725667539709966
"= i = z e: = b.","b",45,"=","i","=","z","e:","=",FALSE,TRUE,TRUE,-0.243998282904972,0.609237233400194,-0.347910154016663,0.0820843731782461,0.272686765082248
"f a r k a s b.","b",39,"f","a","r","k","a","s",TRUE,FALSE,TRUE,1.53493418122404,1.73061368807666,0.660686350460945,1.42886028310083,0.391632198533302
"= e = s e t b.","b",33,"=","e","=","s","e","t",FALSE,FALSE,FALSE,2.02612541462583,1.10938187930033,-0.855720590240832,-1.07040562620935,-0.204809740272524
"r o: = k a = b.","b",29,"r","o:","=","k","a","=",TRUE,FALSE,FALSE,-1.209638930277,-0.937348120708379,-0.26205789548253,-0.0808288188074189,0.0420819130877375
"s u r r o g b.","b",24,"s","u","r","r","o","g",TRUE,TRUE,TRUE,0.0929730481574872,0.628680217419141,0.605936476896019,1.54520342385711,-0.0568183535371473
"z o"" r g o"": = b.","b",23,"z","o""","r","g","o"":","=",TRUE,TRUE,TRUE,0.506555854365341,0.462669563945576,0.464330900334877,0.682995184593214,0.697325853394551
"cs o"" r g o"": = b.","b",21,"cs","o""","r","g","o"":","=",TRUE,TRUE,TRUE,0.559106563544728,0.782758890507925,0.227568451502554,0.377449670844679,0.258922990099705
"h e = r e = b.","b",21,"h","e","=","r","e","=",TRUE,TRUE,TRUE,1.00200468911096,0.443485253311763,-0.613075707976607,0.0715165260621849,0.100533700877597
"ny u: = l o m b.","b",21,"ny","u:","=","l","o","m",TRUE,TRUE,TRUE,2.45279643553354,4.24119000578425,3.95687473680041,4.5647406732476,0.503438811598378
"s a j n a = b.","b",20,"s","a","j","n","a","=",TRUE,TRUE,TRUE,0.786591627991727,1.5903678588344,3.4420318580641,3.90977436192469,0.32529290783686
"cs a: = k o: = m.","m",19,"cs","a:","=","k","o:","=",TRUE,FALSE,FALSE,-0.844388264017384,-1.08699723885812,-0.414815503493846,-0.434402011635835,-0.226148984176112
"= e = l e gy b.","b",16,"=","e","=","l","e","gy",FALSE,TRUE,TRUE,1.03861844323177,0.460506493827837,1.41919953063483,2.6050327190602,0.234658605743127
"cs o n k a = b.","b",16,"cs","o","n","k","a","=",TRUE,FALSE,TRUE,0.613217533875112,0.00963781921011964,1.52685578019792,1.21041549536916,0.721838058952498
"c e = c a = m.","m",15,"c","e","=","c","a","=",TRUE,FALSE,FALSE,-1.75538659525996,-1.53692264909709,-2.46268434253057,-2.42000707003919,-0.573898442773058
"k a = k a s b.","b",15,"k","a","=","k","a","s",TRUE,FALSE,FALSE,-0.0417751444228319,0.940760252586554,-1.19504008595754,-0.684862378818657,-0.643835462930994
"= a = r i = b.","b",12,"=","a","=","r","i","=",FALSE,TRUE,TRUE,0.0142542671715387,0.643709631384498,-1.04240314577064,-0.798055251832868,0.673802973493638
"g o"" n d i = b.","b",12,"g","o""","n","d","i","=",TRUE,TRUE,TRUE,0.945862756003325,1.69783859159805,0.431715246900187,1.67940820681154,0.240621931016144
"cs i l l i = b.","b",11,"cs","i","l","l","i","=",TRUE,TRUE,TRUE,-0.125296784315489,-0.346717890488747,1.35308089556833,1.11515257736845,0.280615406624882
"zs i = g a = b.","b",11,"zs","i","=","g","a","=",TRUE,TRUE,TRUE,0.203763346683518,1.09743940894729,0.504579308929184,1.28008662637215,0.495254640455444
"cs a: = v e r b.","b",9,"cs","a:","=","v","e","r",TRUE,TRUE,TRUE,0.309676319129974,0.284957174442667,0.572764643757461,2.47514362252463,-0.0919018517568981
"ty u: = k o m b.","b",9,"ty","u:","=","k","o","m",TRUE,FALSE,FALSE,2.03616611345013,2.13404816947271,-1.03858332274164,0.321943622446253,-0.347231770660599
"c i c k o: = m.","m",8,"c","i","c","k","o:","=",TRUE,FALSE,FALSE,-0.842364258243838,-0.348342103562912,0.263531625457135,-0.330849175165147,-0.573898442773058
"cs i = n i = b.","b",8,"cs","i","=","n","i","=",TRUE,TRUE,TRUE,-0.772621826685011,0.121567698500786,0.664091997428601,1.08839713223374,0.81263791375126
"= a sz t a = m.","m",7,"=","a","sz","t","a","=",FALSE,FALSE,FALSE,0.309179189556146,-0.0763018895114505,0.0027156869907191,-0.408370746557603,-0.0830019439393683
"= u g r a: l b.","b",7,"=","u","g","r","a:","l",FALSE,TRUE,TRUE,3.44023892778262,3.83439239799372,3.54371695986983,4.64950708400895,0.935660271018218
"f u = r i = m.","m",7,"f","u","=","r","i","=",TRUE,TRUE,TRUE,-0.473902254553343,0.251208460194667,-0.616025040945183,-0.200642481946599,0.61541793154749
"h o"" r g o"": = b.","b",7,"h","o""","r","g","o"":","=",TRUE,TRUE,TRUE,0.589692902135817,-0.639710412990873,-0.483214725871551,0.34433166319246,0.196785649178369
"sz a n d i = m.","m",7,"sz","a","n","d","i","=",TRUE,TRUE,TRUE,1.33934273391104,2.07356647456166,1.11915192386626,1.55549037803514,0.500829879156111
"gy a = gy a = b.","b",6,"gy","a","=","gy","a","=",TRUE,TRUE,TRUE,-0.16805263473842,0.603111334889063,-1.3766765833321,-0.0488616204901745,0.0916352107436283
"h u = g o: = m.","m",6,"h","u","=","g","o:","=",TRUE,TRUE,TRUE,-0.462674985263066,0.414219633513839,0.0828386596201972,0.72771369602087,0.318835914838996
"t o r gy i = m.","m",6,"t","o","r","gy","i","=",TRUE,TRUE,TRUE,0.911547725633204,1.05829418053924,0.347483192111568,0.342746540885882,0
"= e = h e m b.","b",5,"=","e","=","h","e","m",FALSE,FALSE,FALSE,2.1672981586987,2.56405968263658,0.385447282635623,1.28399697227109,0.47745749062654
"= u = gy e = b.","b",5,"=","u","=","gy","e","=",FALSE,TRUE,TRUE,1.46931731441779,2.30943793597022,0.0302852956580646,0.513131393063227,0.198489335855656
"cs o n t i = b.","b",5,"cs","o","n","t","i","=",TRUE,FALSE,TRUE,-0.237005350841264,0.34274171358353,0.347179778452681,0.203723899331376,0.721838058952498
"d u r v a = m.","m",5,"d","u","r","v","a","=",TRUE,TRUE,TRUE,0.485658987688929,0.643081790163064,1.13639111578637,0.662842787243259,0.63913916852272
"h u = s i = m.","m",5,"h","u","=","s","i","=",TRUE,FALSE,FALSE,-0.627521709960832,-0.275539912397359,-1.38601269179756,-1.05816182793493,-0.316944057000812
"p i = c i = m.","m",5,"p","i","=","c","i","=",TRUE,FALSE,FALSE,-0.912864072803602,-0.836328254822396,9.85734315642946e-05,-0.598377294583973,-1.03789327381668
"s u t t o g b.","b",5,"s","u","t","t","o","g",TRUE,FALSE,FALSE,0.091941411567383,0.43517059129929,-1.61862422425489,-1.2154686267596,-0.210369169898497
"sz a = b y = b.","b",5,"sz","a","=","b","y","=",TRUE,TRUE,TRUE,-0.817776840862006,-0.504338473469689,-2.12869293142447,-1.01296043448886,0.147282562209138
"= a: = g i = b.","b",4,"=","a:","=","g","i","=",FALSE,TRUE,TRUE,1.10883702996675,1.04636726792234,-0.673462292388754,0.316374679772949,0.935660271018218
"= e r d o"": = b.","b",4,"=","e","r","d","o"":","=",FALSE,TRUE,TRUE,2.01458672276443,2.85143859867161,1.46958838739261,1.34625431803646,0.673802973493638
"= i n g a = b.","b",4,"=","i","n","g","a","=",FALSE,TRUE,TRUE,0.618163709849307,1.6311917951029,1.27577603885878,1.78496221457122,0.697258753697235
"= u n c i = m.","m",4,"=","u","n","c","i","=",FALSE,FALSE,TRUE,0.715590242155164,0.0714236527686938,1.18937809280996,0.756815362749917,0.837830104743419
"cs a: = k o: = b.","b",4,"cs","a:","=","k","o:","=",TRUE,FALSE,FALSE,-0.844388264017384,-1.08699723885812,-0.414815503493846,-0.434402011635835,-0.226148984176112
"l o"" = k i = m.","m",4,"l","o""","=","k","i","=",TRUE,FALSE,FALSE,-1.1244255111428,-0.567258378597174,-0.0442829169380809,-0.874033068585275,0.283103716786065
"p o"" = sz e = m.","m",4,"p","o""","=","sz","e","=",TRUE,FALSE,FALSE,-0.904341063128318,-0.758319866803533,-0.4352376917112,-0.735298919867449,-0.618816507813437
"r i = zs a = m.","m",4,"r","i","=","zs","a","=",TRUE,TRUE,TRUE,-0.736317972979607,-0.296433203438096,-0.204021306647346,0.018961687403415,0.596542610968462
"t u"" n c i = b.","b",4,"t","u""","n","c","i","=",TRUE,FALSE,TRUE,0.39837018191072,-1.44709816299328,0.989977851984023,0.716617215435785,0.300871414159574
"= a l v i = b.","b",3,"=","a","l","v","i","=",FALSE,TRUE,TRUE,0.670864138889919,0.595460066752871,1.17137274113255,0.679855464131136,0.381756437181461
"= e = gy e = b.","b",3,"=","e","=","gy","e","=",FALSE,TRUE,TRUE,1.54464653988218,2.4015264520508,0.397806839004883,0.803773277496941,0.198489335855656
"= i = c a = m.","m",3,"=","i","=","c","a","=",FALSE,FALSE,FALSE,-1.42774605342981,-0.900630534969702,-1.86497900546063,-2.39303543871618,-0.296616906889613
"c i = l u = m.","m",3,"c","i","=","l","u","=",TRUE,TRUE,TRUE,-2.36173754822627,-2.44619482984516,-1.82833984306588,-1.05083238523152,-0.244901187243751
"cs i = n i = m.","m",3,"cs","i","=","n","i","=",TRUE,TRUE,TRUE,-0.772621826685011,0.121567698500786,0.664091997428601,1.08839713223374,0.81263791375126
"d u p l a = m.","m",3,"d","u","p","l","a","=",TRUE,TRUE,TRUE,-1.0000928754942,-0.316068821935865,-0.535306104980317,-0.114966265964296,-0.00902315327309183
"f a n k i = m.","m",3,"f","a","n","k","i","=",TRUE,FALSE,TRUE,-0.11222131904202,0.0904882647023797,0.161997018569861,0.187507352532462,0.360144863247867
"h a n c i = m.","m",3,"h","a","n","c","i","=",TRUE,FALSE,TRUE,-1.0523712051039,-1.43028462551645,-0.846902829252103,-0.427556424507309,0.342870343575824
"k i r cs i = m.","m",3,"k","i","r","cs","i","=",TRUE,FALSE,TRUE,-0.470963822494053,-0.359642103001925,0.446457999089822,0.834318627844238,-0.023200828401515
"p u sz k o: = m.","m",3,"p","u","sz","k","o:","=",TRUE,FALSE,FALSE,-0.430588013064345,-0.0128508925605759,-0.346074463133632,-0.700998084892878,-0.618816507813437
"r o n gy o s b.","b",3,"r","o","n","gy","o","s",TRUE,TRUE,TRUE,1.13319315928019,1.80666885246339,1.96836726938993,2.22573421167271,0.730933255820417
"s a j t o s b.","b",3,"s","a","j","t","o","s",TRUE,FALSE,TRUE,1.1876525139629,1.17353700371673,3.79579552123031,3.05005762840766,0.32529290783686
"s u"" = n i = b.","b",3,"s","u""","=","n","i","=",TRUE,TRUE,TRUE,-0.801795031084657,0.240020316881869,-0.229737149046887,0.111690894785697,0.337803285484887
"sz i = j a = m.","m",3,"sz","i","=","j","a","=",TRUE,TRUE,TRUE,-1.00629447702233,-0.328043052838954,0.278181731320328,0.30758518342801,-0.0721566793223918
"= a = r a ny b.","b",2,"=","a","=","r","a","ny",FALSE,TRUE,TRUE,1.11120628074668,2.0003507672385,0.908781551570542,1.3906155552385,0.673802973493638
"= a n n a = b.","b",2,"=","a","n","n","a","=",FALSE,TRUE,TRUE,0.596990895197245,1.22665191298822,0.131908890755197,0.469909819255863,0.0932694221562932
"= e n d i = b.","b",2,"=","e","n","d","i","=",FALSE,TRUE,TRUE,2.18376582908807,2.88577533114802,1.21912602346704,1.72016438022147,0.737669865531152
"= i = z o m b.","b",2,"=","i","=","z","o","m",FALSE,TRUE,TRUE,0.739881186309466,0.888818581001288,-0.300600482227664,0.684179527424062,0.0790998444314884
"= o = k e: = m.","m",2,"=","o","=","k","e:","=",FALSE,FALSE,FALSE,-0.200173960092954,0.110103325088077,-0.103986907293315,-0.745239024015266,-0.130265194837901
"= o r d a s b.","b",2,"=","o","r","d","a","s",FALSE,TRUE,TRUE,1.86517169762055,3.28149729282797,1.30976217632755,1.44380274468119,0.673802973493638
"cs a cs k a = b.","b",2,"cs","a","cs","k","a","=",TRUE,FALSE,FALSE,0.567700914088779,0.248080963783095,-0.0579635228522749,0.0646846117300889,-0.428697403041732
"cs e n g o"": = b.","b",2,"cs","e","n","g","o"":","=",TRUE,TRUE,TRUE,1.79545962945833,2.03648861078801,1.7953300898013,1.84149585480438,0.737669865531152
"cs i l l i = m.","m",2,"cs","i","l","l","i","=",TRUE,TRUE,TRUE,-0.125296784315489,-0.346717890488747,1.35308089556833,1.11515257736845,0.280615406624882
"cs u = sz i = m.","m",2,"cs","u","=","sz","i","=",TRUE,FALSE,FALSE,-0.978545409043071,-1.17702908331875,-1.26484031732067,-1.07782953206365,-0.484811957629626
"f i = k a = m.","m",2,"f","i","=","k","a","=",TRUE,FALSE,FALSE,-0.676341621935426,-0.328289908738337,0.192463112581251,-0.391362393601503,0.0425976742364863
"g u sz t i = m.","m",2,"g","u","sz","t","i","=",TRUE,FALSE,FALSE,0.477791351043464,-0.0843031355595149,0.066107296238541,0.123286841489357,-0.235599272431025
"h o"" r g i = m.","m",2,"h","o""","r","g","i","=",TRUE,TRUE,TRUE,0.0894183165036582,0.383654706754491,0.0941899403437481,0.279606215259836,0.461670906123657
"h o"" r g o"": = m.","m",2,"h","o""","r","g","o"":","=",TRUE,TRUE,TRUE,0.589692902135817,-0.639710412990873,-0.483214725871551,0.34433166319246,0.196785649178369
"k a k s i = m.","m",2,"k","a","k","s","i","=",TRUE,FALSE,FALSE,-0.844117454512421,-0.28331578939463,-0.85434870363016,-0.677415979467467,-0.323777805216074
"k o: = c i = m.","m",2,"k","o:","=","c","i","=",TRUE,FALSE,FALSE,-1.47199175272936,-0.810054772556952,0.0809825800335999,-0.205502115310838,-1.03789327381668
"k u = l a = m.","m",2,"k","u","=","l","a","=",TRUE,TRUE,TRUE,-1.80793495421949,-1.1566726601083,-0.944274606314391,-1.1789913747187,-0.0964813382774998
